sample,latency_ns,latency_cycles,total_poll_iterations
617,37420.0,1871.00,3
618,37420.0,1871.00,3
619,37420.0,1871.00,3
620,37420.0,1871.00,3
621,37420.0,1871.00,3
622,37420.0,1871.00,3
623,37420.0,1871.00,3
624,37420.0,1871.00,3
625,37420.0,1871.00,3
626,37420.0,1871.00,3
627,37420.0,1871.00,3
628,37420.0,1871.00,3
629,37420.0,1871.00,3
630,37420.0,1871.00,3
631,37420.0,1871.00,3
632,37420.0,1871.00,3
633,37420.0,1871.00,3
634,37420.0,1871.00,3
635,37420.0,1871.00,3
636,37420.0,1871.00,3
637,37420.0,1871.00,3
638,37420.0,1871.00,3
639,37420.0,1871.00,3
640,37420.0,1871.00,3
641,37420.0,1871.00,3
642,37420.0,1871.00,3
643,37420.0,1871.00,3
644,37420.0,1871.00,3
645,37420.0,1871.00,3
646,37420.0,1871.00,3
647,37420.0,1871.00,3
648,37420.0,1871.00,3
649,37420.0,1871.00,3
650,37420.0,1871.00,3
651,37420.0,1871.00,3
652,37420.0,1871.00,3
653,37420.0,1871.00,3
654,37420.0,1871.00,3
655,37420.0,1871.00,3
656,37420.0,1871.00,3
657,37420.0,1871.00,3
658,37420.0,1871.00,3
659,37420.0,1871.00,3
660,37420.0,1871.00,3
661,37420.0,1871.00,3
662,37420.0,1871.00,3
663,37420.0,1871.00,3
664,37420.0,1871.00,3
665,37420.0,1871.00,3
666,37420.0,1871.00,3
667,37420.0,1871.00,3
668,37420.0,1871.00,3
669,37420.0,1871.00,3
670,37420.0,1871.00,3
671,37420.0,1871.00,3
672,37420.0,1871.00,3
673,37420.0,1871.00,3
674,37420.0,1871.00,3
675,37420.0,1871.00,3
676,37420.0,1871.00,3
677,37420.0,1871.00,3
678,37420.0,1871.00,3
679,37420.0,1871.00,3
680,37420.0,1871.00,3
681,37420.0,1871.00,3
682,37420.0,1871.00,3
683,37420.0,1871.00,3
684,37420.0,1871.00,3
685,37420.0,1871.00,3
686,37420.0,1871.00,3
687,37420.0,1871.00,3
688,37420.0,1871.00,3
689,37420.0,1871.00,3
690,37420.0,1871.00,3
691,37420.0,1871.00,3
692,37420.0,1871.00,3
693,37420.0,1871.00,3
694,37420.0,1871.00,3
695,37420.0,1871.00,3
696,37420.0,1871.00,3
697,37420.0,1871.00,3
698,37420.0,1871.00,3
699,37420.0,1871.00,3
700,37420.0,1871.00,3
701,37420.0,1871.00,3
702,37420.0,1871.00,3
703,37420.0,1871.00,3
704,37420.0,1871.00,3
705,37420.0,1871.00,3
706,37420.0,1871.00,3
707,37420.0,1871.00,3
708,37420.0,1871.00,3
709,37420.0,1871.00,3
710,37420.0,1871.00,3
711,37420.0,1871.00,3
712,37420.0,1871.00,3
713,37420.0,1871.00,3
714,37420.0,1871.00,3
715,37420.0,1871.00,3
716,37420.0,1871.00,3
717,37420.0,1871.00,3
718,37420.0,1871.00,3
719,37420.0,1871.00,3
720,37420.0,1871.00,3
721,37420.0,1871.00,3
722,37420.0,1871.00,3
723,37420.0,1871.00,3
724,37420.0,1871.00,3
725,37420.0,1871.00,3
726,37420.0,1871.00,3
727,37420.0,1871.00,3
728,37420.0,1871.00,3
729,37420.0,1871.00,3
730,37420.0,1871.00,3
731,37420.0,1871.00,3
732,37420.0,1871.00,3
733,37420.0,1871.00,3
734,37420.0,1871.00,3
735,37420.0,1871.00,3
736,37420.0,1871.00,3
737,37420.0,1871.00,3
738,37420.0,1871.00,3
739,37420.0,1871.00,3
740,37420.0,1871.00,3
741,37420.0,1871.00,3
742,37420.0,1871.00,3
743,37420.0,1871.00,3
744,37420.0,1871.00,3
